Wall time,Step,Value
1703117005.005747,0,0.014312973245978355
1703117685.290232,1,0.014316016808152199
1703118366.953334,2,0.014290791936218739
1703119048.288322,3,0.014296626672148705
1703119729.563337,4,0.014251327142119408
1703120409.652677,5,0.014266635291278362
1703121089.618141,6,0.014271172694861889
1703121769.382154,7,0.014246814884245396
1703122449.298659,8,0.014215557835996151
1703133625.136165,0,0.014306550845503807
1703134304.053567,1,0.014299396425485611
1703134988.167896,2,0.014280754141509533
1703135671.51768,3,0.014278597198426723
1703136353.222664,4,0.014277931302785873
1703137035.745175,5,0.014275962486863136
1703137719.202553,6,0.014255129732191563
1703138401.47885,7,0.014237469993531704
1703139085.48876,8,0.014231303706765175
1703139768.671592,9,0.014196490868926048
1703140451.432923,10,0.014200202189385891
1703141135.144585,11,0.014194783754646778
1703141817.767242,12,0.014180963858962059
1703142501.720131,13,0.014172477647662163
